id|name|faction_id|description
1451|Reactor Meltdown|TL|irrelevant
1451|Reactor Meltdown|HTL|irrelevant
1453|Independent Operative|OA|irrelevant
1454|Lightning Reflexes|OA|-ma- has a 4-isv-.
1455|Deadshot|OA|each time you select a target for a weapon -ma- is making an attack with, you can ignore the look out, sir rule. in addition, on -uwr- 6 for an attack made with an exitus pistol or exitus rifle, change the damage characteristic of that weapon to d6 for that attack.
1456|Spymask|OA|when resolving an attack made with a ranged weapon by -ma-, the target does not receive the benefit of cover to its saving throw.
1457|Stealth Suit|OA|when resolving an attack made with a ranged weapon against -ma-, subtract 1 from the hit roll. if -ma- is on or in a terrain feature, subtract 2 from the hit roll instead.
1458|Polymorphine|OA|irrelevant
1459|Hit and Run|OA|-ma- can shoot and charge in a turn in which it fell back.
1460|Reign of Confusion|OA|if you have any models with this ability in your army, then in the first battle round, roll one d6 each time your opponent spends command points (cps) to use a stratagem. on a 4+ your opponent must spend one additional cp to use that stratagem, or else it has no effect (any cps spent so far are lost). this ability cannot affect stratagems used before the battle.
1461|Bio-meltdown|OA|"if -ma- is destroyed, before removing the model from the battlefield, roll one d6 for each -eu- unit that is within 6"" of -ma-. on a 4+ that -eu- unit suffers d3 mortal wounds."
1462|Frenzon|OA|irrelevant
1463|Sentinel Array|OA|"each time an -eu- unit falls back whilst within 1"" of -ma-, before moving any models, -ma- can shoot as if it were its shooting phase. these attacks must target the unit that is falling back."
1464|Abomination|OA|irrelevant
1465|Life Drain|OA|when resolving an attack made with a melee weapon by -ma-, a saving throw cannot be made unless it is an invulnerable saving throw.
1466|Etherium|OA|when resolving an attack that targets -ma-, the attacking model is treated as having a weapon skill and ballistic skill characteristic of 6+.
1467|Psychic Assassin|OA|irrelevant
1468|Authority of the Inquisition|INQ|irrelevant
1470|Quarry|INQ|units with the ordo malleus, ordo hereticus, ordo xenos or ordo minoris keyword gain the respective ability below:ordo malleus: when resolving an attack made by a model in -ua- against a chaos or daemon unit, you can re-roll the hit roll and you can re-roll the wound roll.ordo hereticus: when resolving an attack made by a model in -ua- against a chaos or psyker unit, you can re-roll the hit roll and you can re-roll the wound roll.ordo xenos: when resolving an attack made by a model in -ua- against a unit that is not chaos, imperium or unaligned, you can re-roll the hit roll and you can re-roll the wound roll.ordo minoris: when resolving an attack made by a model in -ua- against a character unit, you can re-roll the hit roll and you can re-roll the wound roll.
1471|Psyocculum|INQ|each time you select a target for a ranged weapon -ma- is making an attack with, you can ignore the look out, sir rule if you select a psyker character or daemon character unit.
1472|Indomitable|INQ|irrelevant
1474|Dread Reputation (Aura)|INQ|irrelevant
1475|Throne of Judgement|INQ|-ma- has a 4-isv-.
1476|Supreme Will (Aura)|INQ|irrelevant
1479|Spy Network|INQ|irrelevant
1480|Unquestionable Wisdom|INQ|irrelevant
1481|Iron Will|INQ|irrelevant
1482|Terminator Armour|INQ|-ma- has a 5-isv-.
1483|Teleport Strike|INQ|irrelevant
1484|Loyal Servant|INQ|"when a -fu- -key-ordo-key- inquisitor model within 3"" of -ua- would lose any wounds as a result of an attack made against that model, -ua- can attempt to intercept that attack. roll one d6; on a 2+ that model does not lose those wounds and one model from -ua- is destroyed. only one attempt can be made to intercept each attack."
1485|Daemonic Power|INQ|irrelevant
1486|Daemonic|INQ|-ma- has a 5-isv-.
1487|Defence Orbs|INQ|-ma- has a 5-isv-.
1488|Inconceivable Customisation|INQ|"at the start of your shooting phase, you can select one -fu- -key-ordo-key- unit within 3"" of -ma- and roll one d6: apply the result from the table below to the selected unit until the end of the turn. a unit can be affected by more than one source of this ability (e.g. from multiple jokaero weaponsmiths) in the same shooting phase, but duplicated results will have no effect.d6result1-2augmented targeting: when resolving an attack made by a model in -ua-, you can re-roll the hit roll.3-4augmented penetration: when resolving an attack made by a model in -ua-, you can re-roll the wound roll.5-6total augmentation: when resolving an attack made by a model in -ua-, you can re-roll the hit roll and you can re-roll the wound roll."
1489|Aegis of the Emperor|AC|models in -ua- have a 4-isv-.each time a model in -ua- would lose a wound as a result of a mortal wound, roll one d6: on a 6, that wound is not lost.
1493|Unyielding Ancient|AC|each time -ma- would lose a wound, roll one d6: on a 6, that wound is not lost.
1494|Explodes|AC|irrelevant
1496|Explodes|AC|irrelevant
1503|It’s For Your Own Good|AM|"if -ma- is slain as a result of perils of the warp whilst within 6"" of a -fu- commissar, they are executed before anything untoward can happen – the power they were attempting still fails, but units within 6"" of them do not suffer d3 mortal wounds as normal."
1504|Choir of Minds|AM|irrelevant
1505|Astral Divination|AM|"at the start of your shooting phase, pick an -eu- unit within 18"" of -ma-. for the duration of the phase, the unit you picked gains no bonus to their saving throws for being in cover when it is targeted by attacks made by -fu- astra militarum units within 6"" of -ma-."
1506|Telepathic Assault|AM|irrelevant
1507|Acts of Faith|AS|irrelevant
1508|Shield of Faith|AS|irrelevant
1509|Zealot|AS|each time a model in -ua- makes a melee attack, if -ua- made a charge move, was charged or performed a heroic intervention this turn, you can re-roll that attack’s hit roll.
1511|Banner of Sanctity|AS|irrelevant
1512|War Hymns|AS|"add 1 to the attacks characteristic of models in adeptus ministorum infantry and astra militarum infantry units whilst their unit is within 6"" of any -fu- models with this ability."
1513|Rosarius|AS|-ma- has a 4-isv-.
1514|Rosarius|AS|-ma- has a 4-isv-.
1516|Uncanny Reflexes|AS|models in -ua- have a 5-isv-. at the start of the fight phase, if -ua- is within engagement range of any -eu- units, it can fight first that phase.
1517|Berserk Killing Machines|AS|each time a model in -ua- would lose a wound, roll one d6: on a 5+, that wound is not lost.
1520|The Armour of Saint Katherine|AS|celestine has a 4-isv-. each time an attack is allocated to celestine, subtract 1 from the damage characteristic of that attack (to a minimum of 1).
1521|Saintly Blessings (Aura)|AS|"while a -fu- imperium infantry unit is within 6"" of celestine, models in that unit have a 6-isv-."
1522|Healing Tears|AS|while a model in -ua- has any lost wounds, or while -ua- is below its starting strength, celestine can attempt the following action:‘healing tears (action): -ua- can start this action at the end of your command phase. the action is completed at the end of your shooting phase provided celestine is still on the battlefield. once completed:if a model in -ua- has any lost wounds, all of that model’s lost wounds are restored.if -ua- is below its starting strength, 1 geminae superia model is returned to the unit with their full wounds remaining.’designer's note: a geminae superia counts as a named character for all rules purposes.
1523|Miraculous Intervention|AS|the first time celestine is destroyed, roll one d6 at the end of the phase instead of using any rules that are triggered when a model is destroyed (e.g. sacrifice). on a 1, -ua- counts as having been destroyed for the purposes of sacrifice; on a 2+, set celestine back up on the battlefield as close as possible to where she was destroyed and not within engagement range of any -eu- units, with all her wounds remaining.
1524|Rosarius|AS|-ma- has a 4-isv-.
1525|Lead the Righteous (Aura)|AS|"while a -fu- -key-order-key- -cu- is within 6"" of -ma-, each time a model in that unit makes an attack, re-roll a hit roll of 1."
1528|Laud Hailer (Aura)|AS|irrelevant
1530|Sky Strike|AS|irrelevant
1531|Bodyguard|AS|"while a -fu- sanctified character or -key-order-key- character unit is within 3"" of -ua-, that character unit can use the look out, sir rule even if -ua- contains fewer than 3 models."
1533|Vanguard|AS|irrelevant
1534|Explodes|AS|irrelevant
1536|Immobile|UN|irrelevant
1539|Automated Weapons|UN|irrelevant
1542|Static Defence Network|UN|irrelevant
1543|Stalwart Defence|UN|irrelevant
1545|Fire Points|UN|irrelevant
1546|Explodes|UN|irrelevant
1547|Fully Automated Weapons|UN|-ma-’s weapons can only target the closest visible -eu- unit. attacks made with a quad icarus lascannon can instead target the closest visible -eu- unit that can fly. in either case, if two or more units are equally close, you can choose which is targeted.
1549|Automated Weapons|UN|irrelevant
1550|Fire Points|UN|irrelevant
1551|Automated Weapons|UN|irrelevant
1552|Fire Points|UN|irrelevant
1553|Explodes|UN|irrelevant
1554|Fire Points|UN|irrelevant
1555|Explodes|UN|irrelevant
1556|Containment Failure|UN|irrelevant
1557|Fire Points|UN|irrelevant
1559|Landing Pad Configuration|UN|irrelevant
1561|Death to the False Emperor|CSM|each time a model with this ability makes a melee attack, a hit roll of 6+ scores one additional hit.
1564|Dark Destiny|CSM|-ma- has a 4-isv-. in addition, -ma- cannot lose more than 3 wounds in the same phase. any wounds that would be lost after that point are not lost.
1566|Mark of Chaos Ascendant|CSM|each time -ma- makes a melee attack, if it made a charge move, was charged or performed a heroic intervention this turn, add 1 to the strength characteristic of that attack.once per turn, the first time a saving throw is failed for -ma-, the damage characteristic of that attack is changed to 0.-ea- against -ma-, if the strength characteristic of that attack either equals or is at least double the toughness characteristic of -ma-, -s1wr-.if -ma- starts the fight phase within engagement range of any -eu- units, it fights first that phase.
1568|The Hamadrya|CSM|irrelevant
1571|Blazing Weapons|CSM|-ma- is eligible to shoot in a turn in which it fell back or advanced.
1572|Mysterious Protection|CSM|-ma- has a 4-isv-. -ea- against -ma-, -uhr- 1-3 always fails, irrespective of any abilities that the weapon or the model making the attack may have.
1575|The Chirurgeon|CSM|irrelevant
1576|Enhance Warriors|CSM|irrelevant
1577|Lord of Chaos|CSM|"re-roll hit rolls of 1 for attacks made by models in -fu-  units whilst their unit is within 6"" of -ma-."
1578|Sigil of Corruption|DG|-ma- has a 4-isv-.
1578|Sigil of Corruption|CSM|-ma- has a 4-isv-.
1579|Jump Pack Assault|DG|irrelevant
1580|Teleport Strike|CSM|irrelevant
1581|Turbo-boost|CSM|irrelevant
1590|Daemonic|CSM|-ma- has a 4-isv- -era-, and a 5-isv- -ema-.
1591|Daemonic Allegiance|CSM|irrelevant
1594|Jump Pack Assault|DG|irrelevant
1594|Jump Pack Assault|TS|irrelevant
1595|Terminator Armour|TS|-ma- has a 5-isv-.
1596|Teleport Strike|TS|irrelevant
1597|Turbo-boost|CSM|irrelevant
1598|Favour of Tzeentch|TS|-ma- has a 5-isv-.
1599|Master of Mechanisms|CSM|irrelevant
1600|Terminator Armour|CSM|models in -ua- have a 5-isv-.
1607|Daemonic|CSM|models in -ua- have a 5-isv-.
1611|Explodes|CSM|irrelevant
1617|Explodes|CSM|irrelevant
1618|Turbo-boost|CSM|irrelevant
1622|Fearsome (Aura)|CSM|irrelevant
1623|Mutated Beyond Reason|CSM|-ua- cannot perform actions. the first time -ua- is selected to fight in each fight phase, roll one d3: until the end of the phase, -ua- gains the relevant mutation from the table below.d3mutation1razor claws: change the armour penetration characteristic of hideous mutations models in -ua- are equipped with to -4.2grasping pseudopods: change the attacks characteristic of models in -ua- to 3d3.3toxic haemorrhage: each time a model in -ua- makes an attack, you can re-roll the wound roll.
1629|Explodes|CSM|irrelevant
1631|Explodes|CSM|irrelevant
1633|Daemonic|CSM|models in -ua- have a 5-isv-.
1635|Titanic Daemon Engine|CSM|irrelevant
1636|Explodes|CSM|irrelevant
1643|Death to the False Emperor|TS|each time you make a hit roll of 6+ for a model with this ability in the fight phase, it can, if it was targeting an imperium unit, immediately make an extra attack against the same unit using the same weapon. these extra attacks cannot themselves generate any further attacks.
1644|Crown of the Crimson King|TS|-ma- has a 4-isv-. in addition, -ma- never suffers perils of the warp.
1645|Gaze of Magnus|TS|irrelevant
1646|Primarch of the Thousand Sons (Aura)|TS|"while a -fu- thousand sons -cu- is within 6"" of -ma-, each time a model in that unit makes an attack, re-roll a hit roll of 1."
1647|Sigil of Corruption|TS|-ma- has a 4-isv-.
1648|Lord of the Thousand Sons (Aura)|TS|"while a -fu- thousand sons -cu- is within 6"" of -ma-, each time a model in that unit makes an attack, re-roll a hit roll of 1."
1652|All Is Dust|TS|each time an attack with a damage characteristic of 1 is allocated to a model in -ua-, add 1 to any armour saving throw made against that attack. in addition, models in -ua- do not suffer the penalty to hit rolls incurred for firing heavy weapons in the same turn that their unit has moved.
1652|All Is Dust|CSM|each time an attack with a damage characteristic of 1 is allocated to a model in -ua-, add 1 to any armour saving throw made against that attack. in addition, models in -ua- do not suffer the penalty to hit rolls incurred for firing heavy weapons in the same turn that their unit has moved.
1653|Terminator Armour|TS|every model in -ua- has a 5-isv-.
1655|Death to the False Emperor|DG|each time you roll a hit roll of 6+ for a model with this ability in the fight phase, it can, if it was targeting an imperium unit, immediately make an extra attack against the same unit using the same weapon. these extra attacks cannot themselves generate any further attacks.
1659|Host of the Destroyer Hive|DG|"in your command phase, you can select one -eu- unit within 6"" of -ma- and roll one d6: on a 2+, that unit suffers d3 mortal wounds."
1665|Pestilential Fallout|DG|irrelevant
1667|Curse of the Walking Pox|DG|irrelevant
1668|Fodder|DG|irrelevant
1669|Mindless Horde|DG|irrelevant
1671|Daemonic|DG|-ma- has a 5-isv-.
1672|Putrid Explosion|DG|irrelevant
1673|Tocsin of Misery (Aura)|DG|irrelevant
1678|Ion Shield|QT|-ma- has a 5-isv- against attacks made with ranged weapons.
1685|Ion Gauntlet Shield|QT|-ma- has a 5-isv-. -ma- has a 4-isv- -ema-. each time a titanic unit makes a melee attack that targets -ma-, -s1hr-.
1703|Daemonic|CD|units with this ability have a 5-isv-.
1704|Unstoppable Ferocity|CD|if -ua- makes a charge move, is charged, or performs a heroic intervention, then until the end of the turn add 1 to the attacks characteristic of all its models and add 1 to the strength characteristic of all the melee weapons the unit is armed with.
1705|Ephemeral Form|CD|add 1 to any invulnerable saving throws made for -ua-.
1706|Disgustingly Resilient|CD|each time a model with this ability loses a wound, roll a dice; on a 5+, the model does not lose that wound.
1707|Quicksilver Swiftness|CD|-ua- always fight first in the fight phase, even if it didn’t charge. if the -eu- has units that have charged, or that have a similar ability, then alternate choosing units to fight with, starting with the player whose turn is taking place.
1708|Daemonic Ritual|CD|"instead of moving in their movement phase, any chaos character can, at the end of their movement phase, attempt to summon a daemon unit with this ability by performing a daemonic ritual (the character cannot do so if they arrived as reinforcements this turn, or if they were themselves summoned to the battlefield this turn).if they do so, first choose one of the four chaos gods – khorne, tzeentch, nurgle or slaanesh. a character who owes allegiance to one of the dark gods can only attempt to summon the units of their patron – for example, a khorne character could only attempt to summon khorne daemons.roll up to 3 dice – this is your summoning roll. you can summon one new unit with the daemonic ritual ability to the battlefield that has a power rating equal to or less than the total result so long as it has the same chaos god keyword you chose at the start (in the case of units that have a choice of allegiance, such as furies, the unit when summoned will have this keyword). -ua- is treated as reinforcements for your army and can be placed anywhere on the battlefield that is wholly within 12"" of the character and more than 9"" from any -eu- model. if the total rolled is insufficient to summon any unit, the ritual fails and no new unit is summoned.if your summoning roll included any doubles, your character then suffers a mortal wound. if it contained any triples, it instead suffers d3 mortal wounds."
1709|Brass Collar of Bloody Vengeance|CD|irrelevant
1711|Rage Embodied (Aura)|CD|irrelevant
1712|Skulls for Khorne|CD|"each time -ma- makes a melee attack against an -eu- character unit, you can re-roll the hit roll and you can re-roll the wound roll.each time an -eu- character unit is destroyed by an attack made by -ma-, increase the range of -ma-’s herald of khorne and lord of decapitations abilities (see below) by 3"" (to a maximum of 12"")."
1713|Lord of Decapitations|CD|"in your command phase, select one -fu- bloodletters -cu- within 6"" of -ma-. until the start of your next command phase, each time a model in that unit makes a melee attack, add 1 to that attack’s hit roll."
1719|Collar of Khorne|CD|irrelevant
1723|Instrument of Chaos|CD|irrelevant
1729|P’tarix's Sorcerous Syphon (Aura)|CD|irrelevant
1730|Xirat’p's Sorcerous Barrage|CD|irrelevant
1739|Tally of Pestilence|CD|while -ma- is on the battlefield, keep a tally of how many -eu- models are destroyed by attacks made by legiones daemonica nurgle units from your army. at the start of each battle round, if there are 2 or more marks on that tally, after making a warp storm roll, gain 1 additional warp storm point, and reset that tally to 0. if -ma- is destroyed, any marks on that tally are lost.
1743|Daemonic Icon|CD|irrelevant
1744|Mischief Makers|CD|irrelevant
1746|Attention Seeker|CD|irrelevant
1748|Dazzling Acrobatics|CD|irrelevant
1750|The Eternal Dance|CD|at the start of the fight phase, select one -eu- unit within engagement range of -ma-. then select one of the following effects:until the end of the phase, each time a -fu- legiones daemonica slaanesh model makes a melee attack against that unit, add 1 to that attack’s hit roll.until the end of the phase, each time a model in that unit makes a melee attack, -s1hr-.until the end of the phase, each time a model in that unit makes a melee attack, -s1wr-.
1752|Locus of Slaanesh|CD|"add 1 to the strength characteristic of models in -fu- slaanesh daemon units whilst their unit is within 6"" of any units with this ability."
1759|Soporific Musk (Aura)|CD|while an -eu- unit (excluding vehicle and titanic units) is within engagement range of -ua-, each time a model in that -eu- unit makes an attack, -s1hr-.
1760|Unholy Speed|CD|irrelevant
1763|Scything Impact|CD|each time -ma- finishes a charge move:roll four d6 for each -eu- unit within engagement range of -ma-. for each 5+, that -eu- unit suffers 1 mortal wound.until the end of the turn, add 2 to -ma-’s attacks characteristic.
1764|Lord of Torment (Aura)|CD|irrelevant
1766|Shadow Form|CD|-ea- against -ma-, your opponent cannot re-roll the hit roll.-ea- against -ma-, -s1hr- and wound roll.-era- -ma-, subtract 1 from that attack’s damage characteristic (to a minimum of 1).
1768|Prince of Chaos (Aura)|CD|"while a -fu- legiones daemonica -key-allegiance-key- -cu- is within 6"" of -ma-, each time a model in that unit makes an attack, re-roll a hit roll of 1."
1769|Daemonic Rewards|CD|irrelevant
1771|Explodes|CD|irrelevant
1777|Explodes|SM|irrelevant
1780|Explorator Augury Web|SM|irrelevant
1783|Inviolate Armour|SM|-ma- has a 5-isv-.
1784|Explodes|SM|irrelevant
1787|Explodes|SM|irrelevant
1801|Reliquarius|SM|-ma- has a 5-isv-.
1802|Unstoppable Fury|SM|if -ma- is equipped with two dreadnought combat weapons, add 1 to its attacks characteristic.
1805|Explodes|SM|irrelevant
1808|Explodes|SM|irrelevant
1812|Explodes|SM|irrelevant
1824|Colossal Flyer|GK|distances are always measured to and from -ma-’s hull.
1824|Colossal Flyer|SM|distances are always measured to and from -ma-’s hull.
1828|Thunderhawk cluster bombs|SM|once per battle, after the bearer has moved, you can select one unit the bearer moved across. roll six d6s for each vehicle or monster model in that unit and roll one d6 for each other model in that unit (to a maximum of eighteen d6s): for each 4+, that unit suffers 1 mortal wound.
1828|Thunderhawk cluster bombs|GK|once per battle, after the bearer has moved, you can select one unit the bearer moved across. roll six d6s for each vehicle or monster model in that unit and roll one d6 for each other model in that unit (to a maximum of eighteen d6s): for each 4+, that unit suffers 1 mortal wound.
1829|Colossal Flyer|SM|distances are always measured to and from -ma-’s hull.
1842|Automated Emplacement|SM|each time a model in -ua- shoots, when selecting targets for that model’s attacks, you must select the closest eligible -eu- unit that can fly. if there are no eligible units that can fly, that model must target the closest eligible unit instead. -ua- is never eligible to charge or heroically intervene, and cannot make pile-in or consolidation moves.
1846|Drop Pod Assault|SM|irrelevant
1853|Firing Points|AS|irrelevant
1854|Explodes|AS|irrelevant
1855|Smoke Launchers|AS|once per game, instead of shooting any weapons in the shooting phase, -ma- can use its smoke launchers. until the controlling player’s next shooting phase, any -eu- units targeting -ua- subtract 1 from all hit rolls for shooting attacks made against -ua-.
1856|Chapter Master|SM|"in your command phase, select one -fu- -key-chapter-key- core or -key-chapter-key- character unit within 6"" of -ma-. until the start of your next command phase, each time a model in that unit makes an attack, you can re-roll the hit roll."
1858|Proud to Live, Proud to Die, Hard to Kill (Aura)|SM|"while a -fu- red scorpions unit is within 6"" of -ma-, each time a model in that unit would lose a wound, roll one d6: on a 6, that wound is not lost."
1868|The Tyrant’s Champion|SM|each time -ma- makes a melee attack against a character unit, add 1 to that attack’s wound roll.
1887|Unyielding Exemplar|SM|each time -ma- would lose a wound, roll one d6: on a 5+, that wound is not lost.
1888|Explodes|SM|irrelevant
1890|Actinic Halo|SM|-ma- has a 3-isv-. the first time a saving throw is failed for -ma-, its invulnerable save is changed to 4+.
1900|Lord of Ruin|SM|each time -ma- makes an attack, re-roll a wound roll of 1.
1902|Rage Unto Death|SM|-ma- is eligible to charge in a turn in which it fell back.
1910|Wrought by Vulkan|SM|-ma- has a 5-isv-. each time -ma- would lose a wound, roll one d6: on a 5+, that wound is not lost.
1912|Explodes|SM|irrelevant
1914|Talisman of Sundered Souls|SM|-ma- has a 5-isv-. the first time -ma- suffers perils of the warp, it does not lose any wounds.
1918|Grehdalin’s Bones|SM|-ema- -ma-, -s1hr-.
1919|Ænigmata Ferrum|SM|while -ma- is on the battlefield, each time you spend 1 or more command points to use a stratagem, you can roll one d6: on a 6, 1 command point is refunded.
1937|Augmented Atomantic Shielding|SM|-ma- has a 4-isv-.
1939|Battle-sworn Warrior|SM|-ma- cannot be selected as your warlord.
1941|Explodes|SM|irrelevant
1942|Heavy Armour|SM|the bearer has a 5-isv-.
1959|Fanatic (Aura)|RaH|irrelevant
1960|Covenant of Chaos|RaH|each time -ua- fights, if it made a charge move, was charged, or performed a heroic intervention this turn, then until that fight is resolved, add 1 to the strength characteristic of models in -ua-.
1961|Refractor Field|RaH|-ma- has a 5-isv-.
1963|Warp Possession|RaH|if -ma- suffers perils of the warp and is not destroyed:its weapon skill characteristic is changed to 2+.its strength characteristic is changed to 8.its attacks characteristic is changed to 5.the armour penetration characteristic of bare hands it is equipped with is changed to -2.the damage characteristic of bare hands it is equipped with is changed to 2.
1965|Choir of Chaos|RaH|irrelevant
1966|Chaos sigil|RaH|each time a model in the bearer’s unit makes a melee attack, if the bearer’s unit made a charge move this turn or was charged, re-roll a hit roll of 1.
1967|Renegade vox-caster|RaH|irrelevant
1968|Curse of Mutation|RaH|at the start of the battle, roll one d3 and consult the table below:$table$
1970|Banner of the Apostate|RaH|"the bearer gains the following ability: ‘banner of the apostate (aura): while a -fu- -key-chaos covenant-key- renegades and heretics unit is within 6"" of -ma-, that unit is eligible to perform heroic interventions as if it were a character.’"
1971|Banner of Hate|RaH|irrelevant
1973|Baleful Judge (Aura)|RaH|irrelevant
1976|Avalanche of Rage|RaH|each time -ua- fights, if it made a charge move this turn, then until that fight is resolved, add 1 to the strength and attacks characteristics of models in -ua-.
1977|Combat Stimms|RaH|once per turn, when -ua- is selected to fight, it can use its combat stimms. if it does, roll one d6: on a 1, one model in -ua- is destroyed. regardless of the result, until the end of the turn, add 1 to the attacks characteristics of models in -ua-.
1982|Daemon Engine|CSM|irrelevant
1982|Daemon Engine|TS|irrelevant
1982|Daemon Engine|DG|irrelevant
1984|Scuttling Gait|CSM|irrelevant
1989|Putrid Explosion|CSM|irrelevant
1995|Rusting Curse (Aura)|CD|while an -eu- vehicle unit (excluding nurgle units) is within engagement range of -ma-, -ea- against that unit, improve the armour penetration characteristic of that attack by 1. this ability is not affected by rules that change the range of an aura ability.
1996|Explodes|CD|irrelevant
2028|Explodes|CSM|irrelevant
2028|Explodes|TS|irrelevant
2028|Explodes|DG|irrelevant
2029|Drop Pod Assault|CSM|irrelevant
2029|Drop Pod Assault|TS|irrelevant
2029|Drop Pod Assault|DG|irrelevant
2038|Void Shields|CSM|-ma- has 2 void shields. each void shield has 3 shield points. while -ma- has any void shields, it has a 5-isv- -era-.each time a saving throw is failed for -ma- against a ranged attack, if it has any void shields, it does not suffer any damage. instead, for each point of damage inflicted, one of its void shields loses 1 shield point. once a void shield has lost a shield point, it must continue to lose shield points due to any further damage inflicted until it collapses. each time an attack causes a void shield to be reduced to 0 shield points, that void shield collapses: -ma- loses that void shield and any excess damage inflicted by that attack is lost. void shields can never be used to prevent mortal wounds (each mortal wound inflicted on a model with void shields causes that model to lose one wound as normal).at the start of your command phase, if -ma- has a void shield that has fewer than 3 shield points remaining, that void shield is restored to 3 shield points.
2038|Void Shields|TS|-ma- has 2 void shields. each void shield has 3 shield points. while -ma- has any void shields, it has a 5-isv- -era-.each time a saving throw is failed for -ma- against a ranged attack, if it has any void shields, it does not suffer any damage. instead, for each point of damage inflicted, one of its void shields loses 1 shield point. once a void shield has lost a shield point, it must continue to lose shield points due to any further damage inflicted until it collapses. each time an attack causes a void shield to be reduced to 0 shield points, that void shield collapses: -ma- loses that void shield and any excess damage inflicted by that attack is lost. void shields can never be used to prevent mortal wounds (each mortal wound inflicted on a model with void shields causes that model to lose one wound as normal).at the start of your command phase, if -ma- has a void shield that has fewer than 3 shield points remaining, that void shield is restored to 3 shield points.
2038|Void Shields|DG|-ma- has 2 void shields. each void shield has 3 shield points. while -ma- has any void shields, it has a 5-isv- -era-.each time a saving throw is failed for -ma- against a ranged attack, if it has any void shields, it does not suffer any damage. instead, for each point of damage inflicted, one of its void shields loses 1 shield point. once a void shield has lost a shield point, it must continue to lose shield points due to any further damage inflicted until it collapses. each time an attack causes a void shield to be reduced to 0 shield points, that void shield collapses: -ma- loses that void shield and any excess damage inflicted by that attack is lost. void shields can never be used to prevent mortal wounds (each mortal wound inflicted on a model with void shields causes that model to lose one wound as normal).at the start of your command phase, if -ma- has a void shield that has fewer than 3 shield points remaining, that void shield is restored to 3 shield points.
2041|Baleful Aberration|DG|-ma- has a 5-isv-.
2041|Baleful Aberration|TS|-ma- has a 5-isv-.
2041|Baleful Aberration|CSM|-ma- has a 5-isv-.
2044|Explodes|DG|irrelevant
2044|Explodes|CSM|irrelevant
2044|Explodes|TS|irrelevant
2053|Colossal Flyer|TS|distances are always measured to and from -ma-’s hull.
2053|Colossal Flyer|CSM|distances are always measured to and from -ma-’s hull.
2053|Colossal Flyer|DG|distances are always measured to and from -ma-’s hull.
2055|Explodes|DG|irrelevant
2055|Explodes|TS|irrelevant
2055|Explodes|CSM|irrelevant
2057|Thunderhawk cluster bombs|TS|once per battle, after the bearer has moved, you can select one unit the bearer moved across. roll six d6s for each vehicle or monster model in that unit and roll one d6 for each other model in that unit (to a maximum of 18): for each 4+, that unit suffers 1 mortal wound.
2057|Thunderhawk cluster bombs|CSM|once per battle, after the bearer has moved, you can select one unit the bearer moved across. roll six d6s for each vehicle or monster model in that unit and roll one d6 for each other model in that unit (to a maximum of 18): for each 4+, that unit suffers 1 mortal wound.
2057|Thunderhawk cluster bombs|DG|once per battle, after the bearer has moved, you can select one unit the bearer moved across. roll six d6s for each vehicle or monster model in that unit and roll one d6 for each other model in that unit (to a maximum of 18): for each 4+, that unit suffers 1 mortal wound.
2059|Explodes|DG|irrelevant
2059|Explodes|TS|irrelevant
2059|Explodes|CSM|irrelevant
2072|Master of the Dead|DG|irrelevant
2073|Aura of Dark Majesty|CSM|-ma- has a 5-isv-. -ea- against -ma-, -s1hr-.
2074|Lord of the Faithless (Aura)|CSM|irrelevant
2075|Arch-villain|CSM|irrelevant
2076|Infiltrator|CSM|irrelevant
2077|Infernal Augmetics|CSM|irrelevant
2078|Gift of the Hellforge (Aura)|CSM|irrelevant
2083|Unholy Frenzy|CD|keep a tally each time -ma- destroys an -eu- model. once this tally has reached 8, add 1 to -ma-’s movement, strength and attacks characteristics.
2085|Emissary of the Blood God (Aura)|CD|irrelevant
2086|Scorn of the Blood God|CD|irrelevant
2088|Frenzied Death-throes|CD|"when -ma- is destroyed, roll one d6 before removing it from play. on a 4+ each unit within d6"" suffers d6 mortal wounds."
2090|Black Collar of Khorne|CD|irrelevant
2093|Daemon Prince of the Ruinstorm (Aura)|CD|irrelevant
2094|Whispers of Madness (Aura)|CD|irrelevant
2097|Dance of Serpents|CD|-ea- against -ma-, -s1hr-.
2099|Emissary of the Prince of Excess (Aura)|CD|irrelevant
2102|Emissary of the Great Mutator (Aura)|CD|irrelevant
2103|Mantle of Twisted Fates|CD|irrelevant
2106|Spiteful Demise|CD|"when -ma- is destroyed, roll one d6 before removing it from play. on a 4+ each unit within d6"" suffers d6 mortal wounds."
2108|The Transfigured (Aura)|CD|"while a -fu- nurgle daemon unit is within 6"" of -ma-, each time a model in that unit makes an attack, re-roll a hit roll of 1."
2111|Noisome Tide of Flesh|CD|each time -ma- would lose a wound from an attack with a damage characteristic of 1, roll one d6: on a 4+, that wound is not lost.
2112|Putrid Demise|CD|"when -ma- is destroyed, roll one d6 before removing it from play. on a 4+ each unit (excluding nurgle units) within d3"" suffers d3 mortal wounds."
2127|Emissary of the Plague God (Aura)|CD|irrelevant
2128|Exhalations of the Plague Pit (Aura)|CD|"while a -fu- nurgle daemon unit is within 6"" of -ma-, each time an -eu- model makes a melee attack against that unit, -s1hr-."
