datasheet_id|line|name|WS|BS|S|T|W|A|Sv|Cost|cost_description|models_per_unit|cost_including_wargear
553|1|annihilation barge|6+|3+|5|6|8|3|3+|120.0||1|False
554|1|doomsday ark|6+|3+|6|6|14|3|3+|160.0||1|False
555|1|transcendent c’tan|2+|2+|6|7|9|5|4+|230.0||1|False
556|1|tesseract vault|6+|3+|8|7|30|6|2+|400.0||1|False
557|1|obelisk|6+|3+|8|8|28|6|2+|300.0||1|False
558|1|canoptek tombstalker|4+|4+|6|7|9|6|3+|90.0||1|False
559|1|canoptek acanthrite|4+|4+|5|5|3|2|3+|40.0||3-6|False
560|1|canoptek tomb sentinel|4+|4+|6|7|9|4|3+|110.0||1|False
561|1|night shroud|6+|3+|6|7|14|3|3+|190.0||1|False
562|1|sentry pylon|-|3+|4|7|8|-|3+|100.0||1-3|False
564|1|tesseract ark|6+|3+|5|7|10|3|3+|170.0||1|False
565|1|kutlakh the world killer|2+|2+|5|5|6|4|3+|110.0||1|True
566|1|toholk the blinded|3+|5+|4|4|4|1|4+|80.0||1|True
567|1|gauss pylon|-|3+|6|8|30|-|3+|450.0||1|False
568|1|eldrad ulthran|2+|2+|3|4|6|3|6+|145.0||1|False
569|1|prince yriel|2+|2+|3|3|6|5|3+|95.0||1|False
570|1|illic nightspear|2+|2+|3|3|5|4|4+|90.0||1|False
571|1|asurmen|2+|2+|4|4|6|6|2+|160.0||1|False
572|1|jain zar|2+|2+|4|4|6|6|2+|150.0||1|False
573|1|karandras|2+|2+|4|4|6|6|2+|150.0||1|False
574|1|fuegan|2+|2+|5|5|6|6|2+|170.0||1|False
575|1|baharroth|2+|2+|4|4|6|6|2+|160.0||1|False
576|1|maugan ra|2+|2+|4|4|6|6|2+|160.0||1|False
577|1|autarch|2+|2+|3|3|5|5|3+|85.0||1|False
579|1|autarch with warp jump generator|2+|2+|3|3|5|4|3+|73.0||1|False
580|1|autarch skyrunner|2+|2+|3|4|6|5|3+|105.0||1|False
581|1|avatar of khaine|2+|2+|7|8|14|7|2+|280.0||1|False
582|1|farseer|2+|2+|3|3|5|2|6+|95.0||1|False
583|1|farseer skyrunner|2+|2+|3|4|6|2|4+|125.0||1|False
584|1|warlock|3+|3+|3|3|2|2|6+|20.0|if this unit contains 1 model, it costs 40pts/model instead.|1-6|False
586|1|warlock skyrunner|3+|3+|3|4|3|2|4+|35.0|if this unit contains 1 model, it costs 60pts/model instead.|1-3|False
588|1|spiritseer|2+|2+|3|3|4|2|6+|75.0||1|False
589|1|guardian defender|3+|3+|3|3|1|1|4+|9.0||10-20|False
589|2|heavy weapon platform|6+|3+|3|3|2|1|3+|20.0||0-2|False
590|1|guardian|3+|3+|3|3|1|1|4+|8.0||10-20|False
590|2|serpent’s scale platform|6+|3+|3|3|2|1|3+|20.0||0-2|False
591|1|windrider|3+|3+|3|4|2|1|3+|20.0||3-9|False
592|1|ranger|3+|2+|3|3|1|1|5+|13.0||5-10|False
593|1|dire avenger|3+|3+|3|3|1|2|4+|13.0||4-9|False
593|2|dire avenger exarch|3+|3+|3|3|2|3|4+|13.0||1|False
594|1|howling banshee|3+|3+|3|3|1|3|4+|19.0||4-9|False
594|2|howling banshee exarch|3+|3+|3|3|2|4|4+|19.0||1|False
595|1|striking scorpion|3+|3+|3|3|1|3|3+|18.0||4-9|False
595|2|striking scorpion exarch|3+|3+|3|3|2|4|3+|18.0||1|False
596|1|fire dragon|3+|3+|3|4|1|2|3+|24.0||4-9|False
596|2|fire dragon exarch|3+|3+|3|4|2|3|3+|24.0||1|False
597|1|wraithguard|3+|3+|5|6|3|3|3+|40.0||5-10|False
598|1|wraithblade|3+|3+|5|6|3|3|3+|40.0||5-10|False
599|1|wave serpent|6+|3+|6|7|13|3|3+|145.0||1|False
600|1|swooping hawk|3+|3+|3|3|1|2|4+|20.0||4-9|False
600|2|swooping hawk exarch|3+|3+|3|3|2|3|4+|20.0||1|False
601|1|warp spider|3+|3+|3|3|1|2|3+|22.0||4-9|False
601|2|warp spider exarch|3+|3+|3|3|2|3|3+|22.0||1|False
602|1|shining spear|3+|3+|3|4|2|3|3+|35.0||2-5|False
602|2|shining spear exarch|3+|3+|3|4|3|4|3+|35.0||1|False
603|1|crimson hunter|6+|3+|6|6|12|3|3+|175.0||1|False
605|1|vyper|6+|3+|4|5|6|2|3+|40.0||1-3|False
606|1|hemlock wraithfighter|6+|3+|6|6|12|3|3+|215.0||1|False
607|1|dark reaper|3+|3+|3|3|1|2|3+|||4|False
607|2|dark reaper exarch|3+|3+|3|3|2|3|3+|||1|False
608|1|support weapon|3+|3+|3|5|5|2|4+|45.0||1-3|False
609|1|falcon|6+|3+|6|7|12|3|3+|145.0||1|False
610|1|fire prism|6+|3+|6|7|12|3|3+|165.0||1|False
611|1|night spinner|6+|3+|6|7|12|3|3+|140.0||1|False
612|1|war walker|3+|3+|5|6|6|3|3+|55.0||1-3|False
613|1|wraithlord|3+|3+|7|8|9|4|3+|100.0||1|False
614|1|wraithknight|3+|3+|8|8|22|5|3+|400.0||1|False
615|1|shadow spectre|3+|3+|3|3|1|1|3+|26.0||5-10|False
615|2|shadow spectre exarch|3+|3+|3|3|2|2|3+|26.0||0-1|False
616|1|wasp assault walker|3+|3+|5|6|6|2|4+|50.0||1-3|False
617|1|wraithseer|3+|3+|7|8|9|4|3+|130.0||1|False
618|1|hornet|6+|3+|4|6|8|2|3+|80.0||1-3|False
619|1|warp hunter|6+|3+|6|7|12|3|3+|195.0||1|False
620|1|lynx|6+|3+|6|7|16|3|3+|220.0||1|False
621|1|scorpion|6+|3+|8|8|26|6|3+|500.0||1|False
622|1|cobra|6+|3+|8|8|26|6|3+|450.0||1|False
623|1|nightwing|6+|3+|6|6|14|3|3+|220.0||1|False
624|1|phoenix|6+|3+|6|6|16|3|3+|210.0||1|True
625|1|vampire raider|6+|3+|8|8|32|6|3+|400.0||1|True
626|1|vampire hunter|6+|3+|8|8|32|6|3+|600.0||1|True
627|1|skathach wraithknight|3+|3+|8|8|24|4|3+|325.0||1|False
628|1|revenant titan|3+|3+|9|9|32|4|3+|1500.0||1|False
629|1|corsair cloud dancer|3+|3+|3|4|2|1|4+|22.0||3-9|False
629|2|corsair cloud dancer felarch|3+|3+|3|4|2|2|4+|22.0||0-1|False
630|1|irillyth|2+|2+|4|4|6|4|2+|140.0||1|False
631|1|phantom titan|3+|3+|9|9|60|6|3+|3000.0||1|False
632|1|corsair reaver|3+|3+|3|3|1|1|5+|9.0||5-15|False
632|2|corsair reaver felarch|3+|3+|3|3|1|2|5+|9.0||0-1|False
633|1|corsair skyreaver|3+|3+|3|3|1|1|5+|12.0||5-15|False
633|2|corsair skyreaver felarch|3+|3+|3|3|1|2|5+|12.0||0-1|False
634|1|archon|2+|2+|3|3|5|5|4+|70.0||1|False
638|1|ur-ghul|3+|-|4|3|3|4|7+|15.0||1|True
639|1|succubus|2+|2+|3|3|5|6|6+|80.0||1|False
640|1|lelith hesperax|2+|2+|3|3|5|7|6+|90.0||1|False
641|1|haemonculus|2+|2+|3|4|6|4|6+|70.0||1|False
642|1|urien rakarth|2+|2+|3|5|6|5|6+|100.0||1|False
643|1|drazhar|2+|2+|4|4|6|5|2+|145.0||1|False
644|1|kabalite warrior|3+|3+|3|3|1|2|4+|8.0||4-19|False
644|2|sybarite|3+|3+|3|3|1|3|4+|8.0||1|False
645|1|kabalite trueborn|3+|3+|3|3|1|2|5+|11.0||4-19|False
645|2|dracon|3+|3+|3|3|1|3|5+|11.0||1|False
646|1|wych|3+|3+|3|3|1|3|6+|11.0||4-19|False
646|2|hekatrix|3+|3+|3|3|1|4|6+|11.0||1|False
647|1|hekatrix bloodbride|3+|3+|3|3|1|3|6+|13.0||4-19|False
647|2|syren|3+|3+|3|3|1|4|6+|13.0||1|False
648|1|incubi|2+|3+|3|3|1|3|3+|18.0||4-9|False
648|2|klaivex|2+|3+|3|3|2|4|3+|18.0||1|False
649|1|mandrake|3+|3+|4|3|1|3|7+|15.0||4-9|False
649|2|nightfiend|3+|3+|4|3|1|4|7+|15.0||1|False
650|1|wrack|3+|3+|3|4|1|2|6+|8.0||4-19|False
650|2|acothyst|3+|3+|3|4|1|3|6+|8.0||1|False
651|1|grotesque|3+|6+|5|5|4|4|6+|35.0||3-6|False
652|1|beastmaster|3+|3+|3|4|3|3|5+|40.0||1|False
653|1|clawed fiend|4+|-|5|5|4|5|5+|25.0||1-6|False
654|1|khymera|3+|-|4|4|1|3|6+|10.0||2-6|False
655|1|razorwing flock|4+|-|2|2|4|4|7+|12.0||3-9|False
656|1|raider|4+|3+|6|6|10|3|4+|95.0||1|False
657|1|venom|4+|3+|5|5|6|3|4+|65.0||1|False
658|1|reaver|3+|3+|3|4|2|3|4+|20.0||2-11|False
658|2|arena champion|3+|3+|3|4|2|4|4+|20.0||1|False
659|1|hellion|3+|3+|3|4|2|3|5+|17.0||4-19|False
659|2|helliarch|3+|3+|3|4|2|4|5+|17.0||1|False
660|1|razorwing jetfighter|6+|3+|6|6|10|3|4+|150.0||1|False
661|1|voidraven bomber|6+|3+|6|6|12|3|4+|175.0||1|False
662|1|scourge|3+|3+|3|3|1|2|4+|12.0||4-9|False
662|2|solarite|3+|3+|3|3|1|3|4+|12.0||1|False
663|1|talos|3+|4+|6|6|7|5|3+|100.0||1-3|False
664|1|cronos|4+|3+|5|6|7|4|3+|75.0||1-3|False
665|1|ravager|4+|3+|6|6|11|3|4+|130.0||1|False
666|1|reaper|4+|3+|6|6|10|3|4+|160.0||1|False
667|1|tantalus|4+|3+|7|7|18|6|3+|250.0||1|False
679|1|company commander|3+|3+|3|3|4|3|5+|35.0||1|False
680|1|tank commander|6+|3+|7|8|12|3|2+|175.0||1|False
681|1|master of ordnance|4+|3+|3|3|3|2|5+|35.0||1|False
682|1|platoon commander|3+|3+|3|3|3|3|5+|25.0||1|False
683|1|veteran|4+|3+|3|3|1|1|5+|||4|False
683|2|veteran heavy weapons team|4+|3+|3|3|2|2|5+|||0-1|False
684|1|guardsman|4+|4+|3|3|1|1|5+|||9|True
684|2|sergeant|4+|4+|3|3|1|2|5+|||1|True
684|3|heavy weapons team|4+|4+|3|3|2|2|5+|||0-1|True
685|1|guardsman|4+|4+|3|3|1|1|5+|||6|False
686|1|heavy weapons team|4+|4+|3|3|2|2|5+|||3|False
687|1|veteran|4+|3+|3|3|1|1|5+|||9|False
687|2|veteran sergeant|4+|3+|3|3|1|2|5+|||1|False
687|3|veteran weapons team|4+|3+|3|3|2|2|5+|||0-1|False
688|1|conscript|5+|5+|3|3|1|1|5+|5.0||20-30|False
689|1|rough rider|4+|4+|3|3|2|1|5+|8.0||4-9|False
689|2|rough rider sergeant|4+|4+|3|3|2|2|5+|8.0||1|False
690|1|scout sentinel|4+|4+|5|5|6|1|4+|40.0||1-3|False
691|1|armoured sentinel|4+|4+|5|6|6|1|3+|40.0||1-3|False
692|1|chimera|6+|4+|6|7|10|3|3+|65.0||1|False
693|1|taurox|6+|4+|6|6|10|3|3+|90.0||1|False
694|1|hellhound|6+|4+|6|7|11|3|3+|110.0||1-3|False
694|2|devil dog|6+|-|6|7|11|0|3+|110.0|||False
694|3|bane wolf|6+|-|6|7|11|0|3+|100.0|||False
695|1|basilisk|6+|4+|6|6|11|3|3+|125.0||1-3|False
696|1|hydra|6+|4+|6|6|11|3|3+|110.0||1-3|False
697|1|wyvern|6+|4+|6|6|11|3|3+|135.0||1-3|False
698|1|manticore|6+|4+|6|7|11|3|3+|155.0||1|False
699|1|deathstrike|6+|4+|6|7|11|3|3+|120.0||1|False
700|1|leman russ battle tank|6+|4+|7|8|12|3|2+|130.0||1-3|False
702|1|baneblade|5+|4+|9|8|26|9|2+|410.0||1|False
703|1|banehammer|5+|4+|9|8|26|9|2+|370.0||1|False
704|1|banesword|5+|4+|9|8|26|9|2+|370.0||1|False
705|1|doomhammer|5+|4+|9|8|26|9|2+|380.0||1|False
706|1|hellhammer|5+|4+|9|8|26|9|2+|450.0||1|False
707|1|shadowsword|5+|4+|9|8|26|9|2+|430.0||1|False
708|1|stormlord|5+|4+|9|8|26|9|2+|430.0||1|False
709|1|stormsword|5+|4+|9|8|26|9|2+|400.0||1|False
710|1|lord castellan creed|3+|3+|3|3|4|3|4+|60.0||1|False
711|1|colour sergeant kell|3+|3+|3|3|4|3|4+|45.0||1|False
712|1|knight commander pask|6+|2+|7|8|12|3|2+|200.0||1|False
713|1|colonel ‘iron hand’ straken|2+|3+|6|4|5|4|3+|80.0||1|False
714|1|sergeant harker|3+|3+|4|3|3|4|5+|55.0||1|False
715|1|lord commissar|2+|2+|3|3|4|3|4+|35.0||1|False
716|1|commissar|3+|3+|3|3|3|3|5+|25.0||1|False
717|1|commissar yarrick|2+|2+|3|4|4|3|4+|110.0||1|False
718|1|tempestor prime|3+|3+|3|3|4|3|4+|40.0||1|False
719|1|tempestus scion|4+|3+|3|3|1|1|4+|||4|False
720|1|tempestus scion|4+|3+|3|3|1|1|4+|9.0||4-9|False
720|2|tempestor|3+|3+|3|3|1|2|4+|9.0||1|False
721|1|taurox prime|6+|3+|6|6|10|3|3+|115.0||1|False
722|1|ogryn|3+|4+|5|5|3|3|5+|25.0||2-8|False
722|2|ogryn bone ’ead|3+|4+|5|5|3|4|5+|25.0||1|False
723|1|bullgryn|3+|4+|5|5|3|3|4+|30.0||2-8|False
723|2|bullgryn bone ’ead|3+|4+|5|5|3|4|4+|30.0||1|False
724|1|ratling|5+|3+|2|2|1|1|6+|10.0||5-10|False
725|1|nork deddog|3+|4+|5|5|6|4|4+|60.0||1|False
726|1|officer of the fleet|4+|3+|3|3|3|2|5+|25.0||1|False
727|1|valkyrie|6+|4+|7|7|14|3|3+|120.0||1-3|False
728|1|atlas recovery tank|6+|4+|7|7|11|3|3+|80.0||1|False
729|1|salamander command vehicle|6+|3+|6|7|10|3|3+|100.0||1|False
730|1|hades breaching drill|4+|4+|6|7|7|d3+3|3+|80.0||1|False
731|1|centaur light carrier|6+|4+|5|6|7|2|3+|50.0||1|False
733|1|trojan support vehicle|6+|4+|6|7|10|3|3+|85.0||1|False
735|1|salamander scout tank|6+|4+|6|7|10|3|3+|75.0||1-3|False
736|1|tauros assault vehicle|4+|4+|4|5|6|2|4+|50.0||1-3|False
737|1|tauros venator|4+|4+|4|5|6|2|4+|50.0||1-3|False
738|1|armageddon-pattern basilisk|6+|4+|6|7|11|3|3+|130.0||1-3|False
739|1|armageddon-pattern medusa|6+|4+|6|7|11|3|3+|140.0||1-3|False
740|1|colossus bombard|6+|4+|7|8|12|3|3+|150.0||1-3|False
741|1|cyclops demolition vehicle|6+|4+|4|6|4|1|3+|50.0||1|False
742|1|earthshaker carriage|-|4+|4|7|7|-|4+|125.0||1-3|False
743|1|earthshaker carriage|4+|4+|3|6|7|5|4+|120.0||1-3|False
744|1|griffon mortar carrier|6+|4+|7|7|11|3|3+|85.0||1-3|False
745|1|heavy mortar|4+|4+|3|6|7|3|4+|70.0||1-3|False
746|1|heavy quad launcher|4+|4+|3|6|6|3|4+|90.0||1-3|False
747|1|hydra platform|-|4+|4|7|7|-|4+|80.0||1-3|False
751|1|malcador annihilator|6+|4+|7|8|18|3|3+|230.0||1|False
752|1|malcador defender|6+|4+|7|8|18|3|3+|260.0||1|False
753|1|malcador|6+|4+|7|8|18|3|3+|210.0||1|False
754|1|malcador infernus|6+|4+|7|8|18|3|3+|250.0||1|False
755|1|manticore platform|-|4+|4|7|7|-|4+|120.0||1-3|False
756|1|medusa carriage|4+|4+|3|6|7|5|4+|120.0||1-3|False
757|1|rapier laser destroyer|4+|4+|3|5|4|2|3+|85.0||1-3|False
758|1|sabre gun platform|-|4+|4|4|4|-|4+|30.0||1-3|False
759|1|sentinel powerlifter|4+|4+|5|5|6|1|4+|50.0||1-3|False
760|1|stygies destroyer tank hunter|6+|4+|7|8|10|3|3+|155.0||1-3|False
761|1|thunderer|6+|4+|7|8|12|3|3+|120.0||1-3|False
762|1|tarantula sentry gun|-|4+|4|5|4|-|3+|40.0||1-3|False
763|1|stormblade|6+|4+|7|8|26|6|2+|360.0||1|False
764|1|arkurian stormhammer|5+|4+|9|8|26|9|2+|440.0||1|False
766|1|crassus|6+|4+|7|8|20|6|2+|240.0||1|False
767|1|dominus armoured siege bombard|5+|4+|8|8|20|3|2+|500.0||1|False
768|1|gorgon heavy transport|5+|4+|9|8|22|5|2+|320.0||1|False
769|1|macharius|6+|4+|7|8|22|6|2+|310.0||1|False
770|1|macharius omega|5+|4+|8|8|22|3|2+|340.0||1|False
771|1|macharius vanquisher|6+|4+|7|8|22|6|2+|310.0||1|False
772|1|macharius vulcan|6+|4+|7|8|22|6|2+|340.0||1|False
773|1|marauder bomber|6+|4+|7|7|20|3|2+|320.0||1|False
774|1|marauder destroyer|6+|4+|7|7|20|3|2+|350.0||1|False
775|1|minotaur|6+|4+|7|8|22|6|2+|300.0||1|False
776|1|praetor|6+|4+|7|8|20|6|2+|400.0||1|False
777|1|valdor tank hunter|6+|4+|7|8|20|6|2+|335.0||1|False
778|1|aquila lander|6+|4+|6|7|12|3|3+|95.0||1|False
779|1|arvus lighter|6+|4+|5|6|8|1|3+|85.0||1|False
780|1|avenger strike fighter|6+|4+|6|6|14|3|3+|165.0||1|False
781|1|voss-pattern lightning|6+|4+|6|6|14|3|3+|130.0||1|False
782|1|thunderbolt|6+|4+|6|7|15|3|3+|210.0||1|False
783|1|vendetta gunship|6+|4+|6|7|14|3|3+|210.0||1|False
784|1|vulture gunship|6+|4+|6|7|14|3|3+|180.0||1|False
785|1|gate section|-|-|10|10|8|-|2+|80.0|extra gate section|1|False
785|2|gate tower section|-|4+|10|10|16|-|2+|160.0|extra gate tower section|2|False
785|3|tower section|-|4+|10|10|12|-|2+|120.0|extra tower section|2|False
785|4|wall section|-|-|10|10|12|-|2+|120.0|extra wall section|2|False
786|1|primaris redoubt|-|4+|8|8|20|-|3+|750.0||1|False
838|1|belisarius cawl|2+|2+|5|6|8|4|2+|180.0||1|False
839|1|tech-priest dominus|3+|2+|4|4|5|3|2+|75.0||1|False
840|1|tech-priest enginseer|4+|3+|4|4|4|2|3+|55.0||1|False
841|1|kataphron breacher|4+|4+|5|5|3|3|2+|35.0||3-6|False
842|1|kataphron destroyer|4+|4+|5|5|3|3|3+|40.0||3-6|False
843|1|fulgurite electro-priest|3+|4+|3|3|1|2|6+|14.0||5-20|False
844|1|corpuscarii electro-priest|4+|3+|3|3|1|2|6+|14.0||5-20|False
845|1|kastelan robot|4+|4+|6|7|7|3|3+|90.0||2-6|False
846|1|cybernetica datasmith|3+|3+|4|4|4|2|2+|40.0||1|False
847|1|servitor|5+|5+|3|3|1|1|4+|||4|False
848|1|skitarii ranger|4+|3+|3|3|1|1|4+|9.0||4-19|False
848|2|skitarii ranger alpha|4+|3+|3|3|1|2|4+|9.0||1|False
849|1|skitarii vanguard|4+|3+|3|3|1|1|4+|9.0||4-19|False
849|2|skitarii vanguard alpha|4+|3+|3|3|1|2|4+|9.0||1|False
850|1|sicarian infiltrator|3+|3+|4|3|2|2|4+|19.0||4-9|False
850|2|sicarian infiltrator princeps|3+|3+|4|3|2|3|4+|19.0||1|False
851|1|sicarian ruststalker|3+|3+|4|3|2|3|4+|18.0||4-9|False
851|2|sicarian ruststalker princeps|3+|3+|4|3|2|4|4+|18.0||1|False
852|1|ironstrider ballistarius|3+|3+|5|6|6|2|3+|75.0||1-6|False
853|1|sydonian dragoon|3+|3+|5|6|6|4|3+|55.0||1-6|False
854|1|onager dunecrawler|5+|3+|6|7|11|3|3+|115.0||1|False
855|1|knight paladin|3+|3+|8|8|24|4|3+|425.0||1|False
856|1|knight errant|3+|3+|8|8|24|4|3+|425.0||1|False
857|1|knight warden|3+|3+|8|8|24|4|3+|435.0||1|False
858|1|knight gallant|2+|3+|8|8|24|5|3+|400.0||1|False
859|1|knight crusader|3+|3+|8|8|24|4|3+|485.0||1|False
860|1|acastus knight porphyrion|4+|3+|8|8|30|3|3+|780.0||1|False
861|1|cerastus knight acheron|3+|3+|8|8|26|4|3+|480.0||1|False
862|1|cerastus knight atrapos|3+|3+|8|8|26|4|3+|520.0||1|False
863|1|cerastus knight castigator|3+|3+|8|8|26|4|3+|460.0||1|False
864|1|cerastus knight lancer|3+|3+|8|8|26|5|3+|440.0||1|False
865|1|questoris knight magaera|3+|3+|8|8|24|4|3+|500.0||1|False
866|1|questoris knight styrix|3+|3+|8|8|24|4|3+|475.0||1|False
867|1|warhound titan|4+|3+|8|8|50|4|2+|2000.0||1|False
868|1|reaver titan|4+|3+|8|8|70|4|2+|3000.0||1|False
869|1|warlord titan|4+|3+|9|9|120|4|2+|5500.0||1|False
870|1|vindicare assassin|2+|2+|4|4|5|5|6+|100.0||1|True
871|1|callidus assassin|2+|2+|4|4|5|5|6+|100.0||1|True
872|1|eversor assassin|2+|2+|4|4|6|6|6+|100.0||1|True
873|1|culexus assassin|2+|2+|4|4|5|4|6+|100.0||1|True
874|1|inquisitor greyfax|3+|3+|3|3|5|4|3+|90.0||1|False
875|1|inquisitor karamazov|3+|3+|5|5|8|4|4+|125.0||1|False
876|1|inquisitor coteaz|3+|3+|3|3|5|4|2+|95.0||1|False
877|1|inquisitor|3+|3+|3|3|5|4|4+|60.0||1|False
878|1|ordo malleus inquisitor in terminator armour|3+|3+|3|3|6|4|2+|95.0||1|False
879|1|acolyte|4+|4+|3|3|1|2|5+|10.0||1-6|False
880|1|daemonhost|4+|4+|4|4|4|3|7+|25.0||1|False
881|1|jokaero weaponsmith|6+|4+|2|3|3|2|7+|20.0||1|False
882|1|custodian guard|2+|2+|5|5|3|3|2+|45.0||3-10|False
883|1|venerable contemptor dreadnought|2+|2+|7|7|9|5|2+|155.0||1|False
884|1|venerable land raider|6+|2+|8|8|16|6|2+|265.0||1|False
889|1|primaris psyker|3+|3+|3|3|4|3|5+|50.0||1|False
890|1|wyrdvane psyker|5+|4+|3|3|1|1|6+|8.0||3-9|False
891|1|astropath|5+|6+|3|3|3|1|6+|35.0||1|False
892|1|uriah jacobus|3+|3+|3|3|5|4|6+|50.0||1|True
894|1|crusader|3+|4+|3|3|1|2|3+|11.0||2-6|False
895|1|death cult assassin|2+|4+|4|3|1|4|5+|13.0||2-6|False
896|1|arco-flagellant|4+|-|4|4|2|2|7+|13.0||3-10|False
897|1|penitent engine|4+|4+|5|5|5|4|4+|50.0||1-4|False
898|1|celestine|2+|2+|3|3|6|6|2+|||1|True
898|2|geminae superia|3+|3+|3|3|2|3|2+|||2|True
899|1|canoness|2+|2+|3|3|5|4|3+|50.0||1|False
900|1|imagifier|3+|3+|3|3|4|3|3+|50.0||1|False
901|1|hospitaller|4+|3+|3|3|4|3|3+|50.0||1|False
902|1|dialogus|4+|3+|3|3|4|3|3+|50.0||1|False
903|1|battle sister|4+|3+|3|3|1|1|3+|11.0||4-19|False
903|2|sister superior|4+|3+|3|3|1|2|3+|11.0||1|False
904|1|seraphim|3+|3+|3|3|1|2|3+|12.0||4-9|False
904|2|seraphim superior|3+|3+|3|3|1|3|3+|12.0||1|False
905|1|celestian|3+|3+|3|3|1|2|3+|12.0||4-9|False
905|2|celestian superior|3+|3+|3|3|1|3|3+|12.0||1|False
907|1|sister repentia|3+|3+|3|3|1|2|7+|14.0||4-10|False
908|1|retributor|4+|3+|3|3|1|1|3+|12.0||4-9|False
908|2|retributor superior|4+|3+|3|3|1|2|3+|12.0||1|False
909|1|dominion|4+|3+|3|3|1|1|3+|14.0||4-9|False
909|2|dominion superior|4+|3+|3|3|1|2|3+|14.0||1|False
910|1|sororitas rhino|6+|3+|6|7|10|3|3+|80.0||1|False
911|1|immolator|6+|3+|6|7|11|3|3+|100.0||1|False
912|1|exorcist|6+|3+|6|7|11|3|3+|130.0||1|False
913|1|large shield section|-|-|-|-|-|-|-|||4|False
913|2|small shield section|-|-|-|-|-|-|-|||4|False
913|3|gun emplacement|-|5+|3|7|3|-|4+|||0-1|False
914|1|bastion|-|4+|6|8|18|-|3+|180.0||1|False
916|1|imperial bunker|-|5+|-|8|12|-|3+|90.0||1|False
917|1|vengeance weapon battery|-|5+|-|8|10|-|3+|110.0||1-2|False
918|1|firestorm redoubt|-|5+|-|8|20|-|3+|210.0||1|False
919|1|plasma obliterator|-|5+|-|9|20|-|3+|210.0||1|True
920|1|macro-cannon aquila strongpoint|-|5+|-|10|30|-|3+|440.0||1|False
921|1|vortex missile aquila strongpoint|-|5+|-|10|30|-|3+|470.0||1|False
922|1|void shield generator|-|-|6|8|16|-|4+|200.0||1|True
923|1|skyshield landing pad|-|-|-|-|-|-|-|140.0||1|True
924|1|abaddon the despoiler|2+|2+|6|6|9|8|2+|300.0||1|False
925|1|huron blackheart|2+|2+|4|5|6|7|3+|140.0||1|False
926|1|cypher|2+|2+|4|4|6|6|3+|90.0||1|False
928|1|fabius bile|2+|2+|5|4|6|6|3+|90.0||1|False
928|2|surgeon acolyte|5+|5+|3|4|1|1|6+|0.0||1|False
929|1|chaos lord|2+|2+|4|4|6|6|3+|90.0||1|False
930|1|chaos lord in terminator armour|2+|2+|4|4|7|6|2+|110.0||1|False
931|1|chaos lord on bike|2+|2+|4|5|6|6|3+|113.0||1|False
932|1|chaos lord on juggernaut of khorne|2+|2+|4|5|7|6|3+|125.0||1|False
933|1|chaos lord on disc of tzeentch|2+|2+|4|4|6|6|3+|100.0||1|False
934|1|chaos lord on palanquin of nurgle|2+|2+|4|5|7|6|3+|99.0||1|False
935|1|chaos lord on steed of slaanesh|2+|2+|4|4|7|6|3+|94.0||1|False
936|1|dark apostle|2+|3+|4|4|5|5|3+|||1|False
936|2|dark disciple|4+|4+|3|4|1|1|6+|||2|False
937|1|heretic astartes daemon prince|2+|2+|7|6|8|6|3+|120.0|this model must be upgraded to have a mark of chaos.|1|False
938|1|sorcerer|3+|3+|4|4|5|5|3+|95.0||1|False
939|1|sorcerer in terminator armour|3+|3+|4|4|6|5|2+|110.0||1|False
940|1|sorcerer on bike|3+|3+|4|5|6|5|3+|130.0||1|False
941|1|sorcerer on disc of tzeentch|3+|3+|4|4|5|5|3+|125.0||1|False
942|1|sorcerer on palanquin of nurgle|3+|3+|4|5|7|5|3+|123.0||1|False
943|1|sorcerer on steed of slaanesh|3+|3+|4|4|6|5|3+|115.0||1|False
944|1|warpsmith|3+|2+|4|4|5|5|2+|80.0||1|False
946|1|chaos cultist|4+|4+|3|3|1|1|6+|5.0||9-19|False
946|2|cultist champion|4+|4+|3|3|1|2|6+|5.0||1|False
947|1|chaos terminator|3+|3+|4|4|3|3|2+|33.0||4-9|False
947|2|terminator champion|3+|3+|4|4|3|4|2+|33.0||1|False
948|1|khorne berzerker|3+|3+|5|4|2|5|3+|22.0||4-9|False
948|2|berzerker champion|3+|3+|5|4|2|6|3+|22.0||1|False
951|1|noise marine|3+|3+|4|4|2|3|3+|21.0||4-9|False
951|2|noise champion|3+|3+|4|4|2|4|3+|21.0||1|False
952|1|chosen|3+|3+|4|4|3|3|3+|25.0||4-9|False
952|2|chosen champion|3+|3+|4|4|3|4|3+|25.0||1|False
953|1|possessed|3+|3+|5|5|3|5|3+|28.0||4-9|False
953|2|possessed champion|3+|3+|5|5|3|6|3+|28.0||1|False
954|1|helbrute|3+|3+|6|7|8|5|3+|105.0||1|False
956|1|chaos rhino|6+|3+|6|7|10|3|3+|80.0||1|False
957|1|chaos biker|3+|3+|4|5|3|3|3+|30.0||2-8|False
957|2|biker champion|3+|3+|4|5|3|4|3+|30.0||1|False
958|1|raptor|3+|3+|4|4|2|3|3+|21.0||4-9|False
958|2|raptor champion|3+|3+|4|4|2|4|3+|21.0||1|False
959|1|warp talon|3+|3+|4|4|2|5|3+|28.0||4-9|False
959|2|warp talon champion|3+|3+|4|4|2|6|3+|28.0||1|False
